"smiles","NAME_","F","pref_target_name"
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])nc([C@]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[N+]1([H])[H])n2[H],CHEMBL497608,66.,Mus musculus
[H]c1c([H])c([H])c(c([H])c1[H])[C@@]1(C(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])=O)C([H])([H])[C@@]1([H])C([H])([H])[N+]([H])([H])[H],CHEMBL471001,16.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])n1c([H])c2c([H])c([H])c([H])c(C(N([H])[H])=O)c2n1,CHEMBL594298,41.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])SC([H])([H])C([H])([H])c1c([H])nc([H])n1[H],CHEMBL1098230,53.5,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C(N([H])[C@@]1([H])C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C2([H])[H])=O)[Cl],CHEMBL177611,74.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1C#N)[Cl])[C@@](C1([H])C([H])([H])C1([H])[H])(C(F)(F)F)O[H],CHEMBL3818577,80.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])[Cl])C([H])([H])Oc1c([H])c(C#N)c([H])c(C([H])([H])[H])n1,CHEMBL207703,4.7,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])[Cl])[C@@]1([H])C(C([H])([H])[H])(C([H])([H])[H])[C@]1([H])C(N([H])C(N([H])[H])=[N+]([H])[H])=O,CHEMBL297962,26.,Rattus norvegicus
[H]c1c([H])c(c(c([H])c1[C@@]12C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[C@]2(C1([H])[H])C([H])([H])OC([H])([H])[H])[Cl])[Cl],CHEMBL1173532,54.,Rattus norvegicus
[H]c1c([H])c(c(c([H])c1[C@]12C([H])([H])[N+]([H])([H])C([H])([H])[C@@]1([H])[C@]2([H])C([H])([H])OC([H])([H])C([H])([H])[H])[Cl])[Cl],CHEMBL608151,61.,Rattus norvegicus
[H]c1c([H])c(c(c2c([H])c([H])c3c(c2[H])N([H])C(N3[H])=O)c(c1[H])C([H])([H])[H])C([H])([H])[H],CHEMBL4211593,68.,Rattus norvegicus
[H]c1c([H])c2c(c(c1[H])O[H])C([H])([H])[C@]([H])(C([H])([H])C2([H])[H])[N+]([H])(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H],CHEMBL56,2.4,Rattus norvegicus
[H]c1c([H])n([H])c(c2nc(c([H])n2[H])[C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])n1,CHEMBL520987,28.,Mus musculus
[H]c1c(c([H])c([H])nc1[H])c1c(c(C(N([H])[H])=O)n([H])c1[H])C(F)(F)F,CHEMBL4104489,57.5,Mus musculus
[H]c1c(c2nc(c([H])n2[H])[C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])noc1[H],CHEMBL1802100,2.4,Mus musculus
[H]c1nc(c2c(c(c(s2)[Cl])C2([H])C([H])([H])C2([H])[H])n1)SC([H])([H])C([O-])=O,CHEMBL3774760,65.,Mus musculus
[H]c1nc(c2c(n1)n(c([H])n2)C([H])([H])C([H])([H])OC([H])([H])P([O-])([O-])=O)N([H])[H],CHEMBL484,11.,Rattus norvegicus
[H]c1nc2C(N([H])C(=Nc2n1C([H])([H])OC([H])(C([H])([H])O[H])C([H])([H])O[H])N([H])[H])=O,CHEMBL182,3.6,Rattus norvegicus
[H]C([H])([H])C([C@]1(C(N([H])C(=N[C@@]2([H])C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@@]2([H])C3([H])[H])S1)=O)C([H])([H])[H])(O[H])O[H],CHEMBL2023972,53.,Rattus norvegicus
[H]C([H])([H])C([H])(C([H])([H])[H])[C@]1(C([N+]([H])=C(N([H])[C@@]2([H])C([H])([H])[C@@]3([H])C([H])([H])[C@]2([H])C([H])([H])[C@]3([H])O[H])S1)=O)C([H])([H])[H],CHEMBL2023966,58.,Rattus norvegicus
[H]C([H])([H])C([H])([H])OP(C(P(=O)(OC([H])([H])C([H])([H])[H])OC([H])([H])C([H])([H])[H])([Cl])[Cl])(=O)OC([H])([H])C([H])([H])[H],CHEMBL77605,5.,Rattus norvegicus
[H]C([H])=C(C([H])([H])N(C([C@@]1(c2c([H])c([H])c([H])s2)C([H])([H])[C@@]1([H])C([H])([H])[N+]([H])([H])[H])=O)C([H])([H])C([H])([H])[H])F,CHEMBL469946,47.,Rattus norvegicus
[H]C([H])=C([H])C([H])([H])N(C([C@@]1(c2c([H])c([H])c([H])s2)C([H])([H])[C@@]1([H])C([H])([H])[N+]([H])([H])[H])=O)C([H])([H])C([H])=C([H])[H],CHEMBL512851,12.,Rattus norvegicus
[H]C1=C([C@@]2([H])C([H])([H])C([H])([H])[N+]([H])([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])C2([H])[H])O[N-]C1=O,CHEMBL3287849,33.,Rattus norvegicus
[H]c1c(C(N([H])[H])=O)c2c(c([H])c1F)n([H])c([C@@]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[N+]1([H])[H])n2,CHEMBL495743,100.,Mus musculus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C(N(C([H])([H])[H])C([H])([H])[H])=O)O[H])O[H])O[H])nc(C(C([H])([H])[H])=O)n1[H],CHEMBL490462,1.,Mus musculus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])nc(c2c([H])n(c([H])n2)C([H])([H])[H])n1[H],CHEMBL526715,3.,Mus musculus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])nc(c2c([H])sc(C([H])([H])[H])n2)n1[H],CHEMBL506857,23.,Mus musculus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]2([H])C([H])([H])C([H])([H])[N@+]1([H])C([H])([H])C([H])([H])C([H])([H])[H],CHEMBL69125,70.,Rattus norvegicus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])C([H])([H])C([H])([H])[C@]1([H])[C@@]2([H])C([H])([H])C([H])([H])[N@@+]1([H])C([H])([H])C([H])([H])C([H])([H])[H],CHEMBL349003,46.,Rattus norvegicus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])n([H])c(C(C([H])([H])[H])(C([H])([H])[H])[N+]([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])n2,CHEMBL479779,26.,Rattus norvegicus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])n([H])c(C1(C([H])([H])[H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C1([H])[H])n2,CHEMBL495942,20.,Mus musculus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])n([H])c([C@@]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N1C([H])([H])[H])n2,CHEMBL497609,36.,Mus musculus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])n([H])c([C@]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]1([H])[H])n2,CHEMBL521712,93.,Mus musculus
[H]c1c([H])c(C([H])([H])[H])nc2c([H])c(c(c([H])c12)[Br])C(F)(F)P([O-])([O-])=O,CHEMBL405419,5.,Rattus norvegicus
[H]c1c([H])c([H])c(c(C(N([H])c2nc([H])c(s2)[Cl])=O)c1[H])OC(C([H])([H])[H])=O,CHEMBL1940641,1.,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])C([H])([H])[C@@]([H])(C(N1C([H])([H])[C@]([H])(C([H])([H])[C@@]1([H])C#N)F)=O)N([H])[H],CHEMBL3093902,21.8,Rattus norvegicus
[H]c1c([H])c([H])c(c([H])c1[H])N([H])C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(N([H])O[H])=O)=O,CHEMBL98,8.,Mus musculus
[H]c1c([H])c([H])c(c([H])c1[H])[C@@]([H])(C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[H])Oc1c([H])c([H])c([H])c([H])c1C([H])([H])[H],CHEMBL641,1.5,Rattus norvegicus
[H]c1c([H])c([H])c(c(c1[H])c1c([H])c([H])c2c(c1[H])c([H])nn2[H])C(F)(F)F,CHEMBL3298242,37.,Rattus norvegicus
[H]c1c([H])c([H])c2c(C(C3=NC4=C(C(N23)=O)C([H])([H])C([H])([H])C([H])([H])C4([H])[H])=O)c1[H],CHEMBL2348002,30.14,Rattus norvegicus
[H]c1c([H])c([H])c2c(c1[H])C([H])([H])N1C(C(c3c([H])c(c([H])c([H])c13)[Cl])=O)=N2,CHEMBL2347763,8.,Rattus norvegicus
[H]c1c([H])c([H])c2c(c1[H])C([H])([H])[C@]1([H])c3c([H])c(C([H])([H])C([H])([H])[H])sc3C([H])([H])C([H])([H])[N@+]1([H])C2([H])[H],CHEMBL4169575,45.4,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1[C@@]([H])(C(N([H])c1nc([H])c([H])s1)=O)C([H])(C([H])([H])[H])C([H])([H])[H])[Cl],CHEMBL594671,15.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1C([H])([H])N([H])C([C@]1([H])C([H])([H])N([H])C(N1C([H])([H])[H])=O)=O)[Cl])[Cl],CHEMBL1269249,100.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1N([H])C(c1c([H])c(c([H])c([H])c1[O-])[Cl])=O)[Cl])[Cl],CHEMBL3604895,10.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1OC([H])([H])C([O-])=O)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[Cl],CHEMBL398126,58.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])[Cl])C([H])([H])N([H])C(c1c([H])c([H])c(c(c1[H])[Cl])[Cl])=[N+]([H])[H],CHEMBL159818,44.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])[Cl])[C@@]1([H])C(C([H])([H])[H])(C([H])([H])[H])[C@]1([H])c1c(C([H])([H])[H])n([H])c(N([H])[H])[n+]1[H],CHEMBL52381,26.,Rattus norvegicus
[H]c1c([H])c(c(c([H])c1C(N([H])C(N([H])[H])=[N+]([H])[H])=O)S(C([H])([H])[H])(=O)=O)C([H])(C([H])([H])[H])C([H])([H])[H],CHEMBL436559,37.,Rattus norvegicus
[H]c1c([H])c(c(c(c1[H])C([H])([H])[H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])[N+]([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])O[H])C([H])([H])[H],CHEMBL3775436,2.98,Mus musculus
[H]c1c([H])c(oc1c1c(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])sc(n1)N([H])[H])P([O-])(=O)O[H],CHEMBL495498,2.,Rattus norvegicus
[H]c1c([H])c(sc1S([N-]c1c(nc(c([H])n1)[Br])OC([H])([H])[H])(=O)=O)[Cl],CHEMBL2011441,45.,Rattus norvegicus
[H]c1c([H])c2c(c([H])c1[Br])c(c([H])c([H])n2)SC1(C([O-])=O)C([H])([H])C([H])([H])C1([H])[H],CHEMBL3746329,74.8,Rattus norvegicus
[H]c1c([H])c2c(c([H])c1[Cl])c([H])c(C(N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])=O)n2[H],CHEMBL129198,24.1,Rattus norvegicus
[H]c1c([H])c2c(nc1C([H])([H])[H])nc(N1C([H])([H])C([H])([H])[N@@+]3([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C3([H])[H])o2,CHEMBL604798,73.,Rattus norvegicus
[H]c1c([H])nc(c([H])n1)c1nc(c([H])n1[H])[C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H],CHEMBL483058,10.,Mus musculus
