canonical_smiles,molecule_chembl_id,F,target_pref_name
COC(=O)N[C@H](C(=O)NN(Cc1ccc(-c2ccccn2)cc1)C[C@H](OC(=O)[C@@H](NC(=O)OC)C(C)(C)C)[C@@H](N)Cc1ccccc1)C(C)(C)C.Cl.Cl,CHEMBL4208792,0.83,Rattus norvegicus
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,CHEMBL395429,0.85,Rattus norvegicus
O=c1[nH]c2ncc(-c3ccc(-c4nc[nH]n4)cc3)nc2n1CCC1CCOCC1,CHEMBL2348865,0.85,Rattus norvegicus
CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12.Cl,CHEMBL1200493,0.85,Rattus norvegicus
O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(F)c(C(F)(F)P(=O)(O)O)cc3n2)cc1,CHEMBL1938829,0.9,Mus musculus
Cc1cccc(C)c1-c1cccc(COc2ccc(CCC(=O)O)cc2)c1,CHEMBL1688486,0.9,Rattus norvegicus
CC(=N)N1CCC(c2ccc(NC(=O)CN(Cc3cccc(OCC(=O)O)c3)c3cccc(C(=N)N)c3)cc2)CC1,CHEMBL463385,0.9,Rattus norvegicus
CC(=O)N[C@@H]1[C@@H](N)[C@@H](F)[C@](F)(C(=O)OC(C)C)O[C@H]1[C@H](O)[C@H](O)CO,CHEMBL3426097,0.9,Mus musculus
CC(=O)O[C@@H]1C[C@@]23COC[C@@](C)([C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H]2CC[C@H]1C3=CC[C@@]2(C)[C@H](C(=O)O)[C@@](C)([C@H](C)C(C)C)CC[C@]12C,CHEMBL3740212,1.0,Rattus norvegicus
CCc1ccc(Cl)cc1-n1cc(-c2ncnn3cccc23)cc1C(N)=O,CHEMBL3403546,1.0,Mus musculus
O=C(Nc1nnn[nH]1)c1ccc(F)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,CHEMBL2315364,1.0,Rattus norvegicus
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)[C@@H]2CCCCN2)c1,CHEMBL2326622,1.0,Rattus norvegicus
COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1O,CHEMBL1824293,1.0,Rattus norvegicus
Cc1noc(C)c1CCC1CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c2ncc(F)cn2)N(O)C=O)CC1,CHEMBL1615187,1.0,Rattus norvegicus
COc1cc2ncnc(Nc3ccc(NC(=O)Nc4cc(C(C)(C)C)on4)cc3)c2cc1OC.Cl,CHEMBL1821753,1.0,Rattus norvegicus
NCCCC[C@H](NC(=O)[C@@H](Cc1cc(Br)c(O)c(Br)c1)NC(=O)N1CCC(N2Cc3ccccc3NC2=O)CC1)C(=O)N1CCN(c2ccncc2)CC1,CHEMBL207197,1.0,Rattus norvegicus
O=C(COc1ccc(-n2ccnc2)cc1)Nc1ccc(-c2ccccc2)cc1,CHEMBL4097104,1.0,Mus musculus
CC(C)n1ncc(-c2ccc(OCCCN3CCC[C@H]3C)cc2)cc1=O,CHEMBL1958322,1.0,Rattus norvegicus
COCCN1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,CHEMBL4217740,1.0,Mus musculus
CSCCN1C[C@H](c2cccc(F)c2F)CC[C@@H](NC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)C1=O,CHEMBL415263,1.0,Rattus norvegicus
O=C(N[C@@H]1CC[C@@H](c2cccc(F)c2F)CN(CCO)C1=O)N1CCC(n2c(=O)[nH]c3ncccc32)CC1,CHEMBL236590,1.0,Rattus norvegicus
O=C(N[C@@H]1CC[C@@H](c2cccc(F)c2F)CN(CCN2CCOCC2)C1=O)N1CCC(n2c(=O)[nH]c3ncccc32)CC1,CHEMBL392634,1.0,Rattus norvegicus
Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1,CHEMBL249317,1.0,Mus musculus
CC(C)CCn1nc(-c2cccs2)c(O)c(C2=Nc3ccc(NS(C)(=O)=O)cc3S(=O)(=O)N2)c1=O,CHEMBL401825,1.0,Rattus norvegicus
O=C1Nc2ncccc2C2(CCN(C(=O)N[C@@H]3CC[C@@H](c4cccc(F)c4F)Cn4c(CC(F)(F)F)nnc43)CC2)O1,CHEMBL1770722,1.0,Rattus norvegicus
CCS(=O)(=O)c1ccc([C@@H](NC(C)=O)C(=O)Nc2cc(-c3cccnc3OCc3ccc(OC(F)(F)F)cc3)cs2)cc1,CHEMBL4159819,1.0,Rattus norvegicus
CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(CCN(C)C)CC3)cc(-c3ccccc3)n2)CC1,CHEMBL601693,1.0,Rattus norvegicus
O=C(NO)c1ccc(NC2CCN(c3ccccc3)C2=O)cc1,CHEMBL3415446,1.0,Mus musculus
N=C1NCCN1Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,CHEMBL172360,1.0,Rattus norvegicus
CC(=O)Oc1ccccc1C(=O)Nc1ncc(Cl)s1,CHEMBL1940641,1.0,Rattus norvegicus
Cc1cccc(C)c1CS(=O)(=O)NCCc1c(CCCc2ccc(C(=O)O)cc2)c2cc(Cl)ccc2n1C(c1ccccc1)c1ccccc1,CHEMBL404529,1.0,Rattus norvegicus
O=C(O)c1ccc(CCCc2c(CCNS(=O)(=O)Cc3ccc(Cl)c(Cl)c3)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1,CHEMBL272342,1.0,Rattus norvegicus
COc1ccccc1S(=O)(=O)NCCc1c(CCOc2ccc(C(=O)O)cc2)c2cc(Cl)ccc2n1C(c1ccccc1)c1ccccc1,CHEMBL402512,1.0,Rattus norvegicus
COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1,CHEMBL208950,1.0,Rattus norvegicus
O=C1[C@@H](NS(=O)(=O)c2ccc3c(Cl)c[nH]c3c2)CCN1c1ccc(C2CCCN2)cc1F,CHEMBL1684190,1.0,Rattus norvegicus
COc1ccc(-c2ccc3nc(NCc4ccc(S(N)(=O)=O)cc4)nc(NCC(F)(F)F)c3n2)cc1S(C)(=O)=O,CHEMBL2018284,1.0,Rattus norvegicus
NS(=O)(=O)c1ccc(CNc2nc(NCC(F)(F)F)c3nc(-c4ccc(NC(=O)C5CC5)cc4)ccc3n2)cc1,CHEMBL2018288,1.0,Rattus norvegicus
O=C(NCCO)[C@H]1CCCN(Cc2nc(-c3cn(CC4CCS(=O)(=O)CC4)c4c(Cl)cccc34)ns2)C1,CHEMBL2017682,1.0,Rattus norvegicus
O=C1NCCCC[C@@H]1NC(=O)C12CC3CC(CC(C3)C1)C2,CHEMBL468733,1.0,Rattus norvegicus
N=C(N)NCc1cccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)c1,CHEMBL427479,1.0,Rattus norvegicus
N=C(N)NCc1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,CHEMBL173878,1.0,Rattus norvegicus
N=C(N)c1cccc(-c2ccc(C(=O)Nc3ccc(Cl)cc3C(=O)Nc3ccc(Cl)cn3)cc2)c1,CHEMBL174335,1.0,Rattus norvegicus
CC(=N)NCc1ccccc1-c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,CHEMBL171854,1.0,Rattus norvegicus
COCCn1cc(-c2ccsc2)cc(NC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)c1=O,CHEMBL256813,1.0,Rattus norvegicus
Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(NCCN3CCOCC3)nncc2c1,CHEMBL494270,1.0,Rattus norvegicus
CC(=O)c1nc([C@@H](O)[C@H](O)[C@H](O)C(=O)N(C)C)c[nH]1,CHEMBL490462,1.0,Mus musculus
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OC[C@H]2C[C@@H]2C(=O)O)c1,CHEMBL1761525,1.0,Rattus norvegicus
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OC[C@H]2C[C@@H]2C(=O)O)c1,CHEMBL1761525,1.0,Rattus norvegicus
O=C(Nc1nc(-c2ccc(F)c(C(F)(F)F)c2)ns1)c1ccc(Nc2cc(N(CCCO)CCCO)ncn2)cc1,CHEMBL442278,1.0,Rattus norvegicus
O=C(N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N1CCC[C@H]1C(=O)c1nc2ccccc2[nH]1)OCC1c2ccccc2-c2ccccc21,CHEMBL1256279,1.0,Mus musculus
N#Cc1cccc(-c2ccc(CCC(=O)N3C[C@H](O)C[C@H]3c3ncc(-c4cccc(Cl)c4)[nH]3)cc2)c1,CHEMBL1259104,1.0,Mus musculus
